"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Wilier,"수원시","2026-03-24 16:59:46",4646,9903,19.03,14.74,52.64,132,102,136,42,134
"",Wilier,"안양시","2026-03-26 06:37:10",4067,989,16.55,14.65,30.56,126,107,143,45,89
"",Wilier,"수원시","2026-03-26 16:59:45",4111,1302,16.47,14.42,52.64,87,103,128,44,109
"",Wilier,"안양시","2026-03-27 06:43:31",4376,842,16.79,13.81,36.62,125,108,130,46,93
"",Wilier,"수원시","2026-03-27 17:07:21",4360,1743,16.4,13.54,39.34,92,102,132,44,128
"",Wilier,"안양시","2026-04-02 06:41:39",4340,799,16.73,13.88,33.6,144,109,132,42,121
"",Wilier,"수원시","2026-04-02 19:51:17",4552,629,16.83,13.31,37.29,76,104,132,39,144
"",Wilier,"안양시","2026-04-03 06:48:13",4471,881,17.58,14.16,74.21,155,108,130,42,118
"",Wilier,"수원시","2026-04-03 16:51:58",4553,1171,16.46,13.02,36.35,102,104,133,38,93
"",Wilier,"안양시","2026-04-04 09:35:07",9014,2075,33.65,13.44,37.89,10,99,117,36,98
"",Wilier,"안양시","2026-04-07 06:40:02",4175,843,16.72,14.42,29.66,112,111,137,40,90
"",Wilier,"수원시","2026-04-07 16:55:00",4359,410,16.31,13.47,38.63,81,107,152,40,144
"",Wilier,"안양시","2026-04-13 06:38:21",3928,1007,16.68,15.29,35.75,104,105,132,44,124
"",Wilier,"수원시","2026-04-13 17:06:57",4609,572,16.39,12.8,37.23,79,100,127,37,142
"",Wilier,"안양시","2026-04-14 06:51:20",4278,785,16.64,14.01,32.77,99,106,132,44,89
"",Wilier,"수원시","2026-04-14 19:26:20",4626,660,16.17,12.59,37.45,78,97,132,38,132
"",Wilier,"안양시","2026-04-20 06:43:26",4175,1599,16.72,14.42,41.98,145,106,131,43,91
"",Wilier,"수원시","2026-04-20 17:39:16",4542,909,15.21,12.06,35.71,102,99,132,37,128
"",Wilier,"안양시","2026-04-21 06:49:01",4420,683,16.82,13.7,66.46,106,106,132,42,91
"",Wilier,"수원시","2026-04-21 17:03:10",4403,1783,16.52,13.51,37.66,86,104,134,34,85
"",Wilier,"안양시","2026-04-23 06:46:14",4107,767,16.78,14.71,53.68,126,105,124,"",""
"",Wilier,"수원시","2026-04-23 17:02:57",4405,506,16.41,13.41,36.46,81,99,127,"",""
"",Wilier,"안양시","2026-04-27 06:20:23",4193,923,16.76,14.39,33.35,97,95,133,"",""
"",Wilier,"","2026-04-27 17:30:22",4575,925,16.35,12.87,38.62,100,103,130,"",""
"",Wilier,"안양시","2026-04-28 06:48:52",4051,968,16.6,14.75,35.23,97,109,134,"",""
"",Wilier,"수원시","2026-04-28 17:03:53",4590,917,17.38,13.63,66.64,100,94,128,"",""
"",Wilier,"안양시","2026-05-02 09:56:00",5323,1565,21.65,14.64,35.68,212,101,147,47,98
"",Wilier,"안양시","2026-05-07 06:42:37",4918,2334,19.31,14.14,51.69,147,106,133,42,110
"",Wilier,"수원시","2026-05-07 17:11:48",4571,656,16.89,13.3,39.63,118,100,127,36,105
"",Wilier,"안양시","2026-05-08 06:38:16",4434,755,16.56,13.45,34.09,100,106,124,43,111
"",Wilier,"수원시","2026-05-08 17:14:21",4533,648,16.32,12.96,38.03,87,99,122,38,144
"",Wilier,"안양시","2026-05-11 06:11:44",4079,833,16.85,14.87,54.64,105,96,126,42,95
"",Wilier,"수원시","2026-05-11 18:56:42",4563,770,16.69,13.17,35.8,79,99,130,32,124
"",Wilier,"안양시","2026-05-12 06:42:40",4163,705,16.61,14.36,31.46,85,103,128,43,99
"",Wilier,"안양시","2026-05-12 18:12:48",4444,327723,16.77,13.59,43.74,88,100,127,38,93
"",Wilier,"안양시","2026-05-16 14:29:50",4048,982,16.59,14.76,33.66,102,120,139,"",""
"",Wilier,"안양시","2026-05-18 06:29:19",4022,930,16.54,14.8,32.11,78,101,123,43,110
"",Wilier,"수원시","2026-05-18 17:41:04",4089,1305,17.04,15.0,38.97,80,107,133,"",""
"",Wilier,"안양시","2026-05-19 06:35:22",3853,1121,17.21,16.08,35.68,108,"","","",""
"",Yeti,"수원시","2026-05-19 20:57:21",4333,2003,17.93,14.9,52.89,81,"","","",""
"","","안양시","2026-05-20 07:08:05",3113,21182,38.12,44.08,79.67,115,73,98,"",""
"","","안양시","2026-05-22 05:04:11",84,1381,0.55,23.69,30.38,0,60,65,"",""
"",Yeti,"안양시","2026-05-22 05:13:58",45,119,0.11,8.63,26.93,0,"","","",""
"",Yeti,"안양시","2026-05-22 06:17:34",3909,830,17.03,15.68,34.36,98,109,130,"",""
"",Yeti,"수원시","2026-05-22 17:14:25",4283,1855,16.97,14.26,42.53,68,"","",36,131
"",Yeti,"안양시","2026-05-23 07:47:49",5547,1684,23.27,15.1,36.47,212,106,151,43,107
"",Yeti,"안양시","2026-05-28 06:27:01",3873,876,17.16,15.95,33.97,112,111,135,41,97
"",Yeti,"수원시","2026-05-28 21:26:36",4031,839,16.97,15.15,38.84,67,106,139,34,128
"",Yeti,"안양시","2026-05-29 06:43:17",3797,681,17.01,16.13,36.08,98,113,135,46,104
"",Yeti,"","2026-05-29 17:19:02",4001,471,16.82,15.13,43.84,99,107,132,39,126
"",Yeti,"안양시","2026-05-30 11:53:13",4903,2118,21.22,15.58,36.21,204,109,153,49,110
"",Yeti,"안양시","2026-06-01 05:40:56",3713,843,17.04,16.52,37.13,108,109,134,47,107
"",Yeti,"수원시","2026-06-01 17:46:13",4199,1478,17.02,14.6,40.03,79,99,130,35,107
"",Yeti,"안양시","2026-06-02 06:43:06",3903,923,17.13,15.8,33.84,106,108,133,42,110
"",Yeti,"수원시","2026-06-02 17:10:39",4209,1545,16.91,14.46,41.34,88,102,127,36,145
"",Yeti,"안양시","2026-06-05 06:44:37",3593,886,17.05,17.08,37.66,85,112,135,45,98
"",Yeti,"수원시","2026-06-05 17:46:18",3987,715,16.87,15.24,43.32,85,106,132,38,97
"",Yeti,"안양시","2026-06-06 09:00:40",904,720,4.39,17.5,27.12,0,"","",43,94
"",Yeti,"의왕시","2026-06-06 09:31:57",3929,2437,18.12,16.6,76.76,199,"","",49,92
"",Yeti,"안양시","2026-06-08 06:01:01",3911,969,17.23,15.87,36.47,115,"","",46,102
"",Yeti,"수원시","2026-06-08 18:09:11",4261,1876,16.97,14.33,36.73,82,"","",37,88
"",Yeti,"안양시","2026-06-08 22:11:08",31116,164,2.12,0.25,35.8,0,"","",48,103
"",Yeti,"안양시","2026-06-09 06:52:51",3737,890,15.78,15.2,34.63,80,"","",43,110
"",Yeti,"수원시","2026-06-09 18:47:23",317,336,1.08,12.25,29.49,22,"","",41,91
"",Yeti,"안양시","2026-06-10 22:17:11",45,179,0.17,13.63,23.25,0,"","","",""
